time_ms,rawAccelX_g,rawAccelY_g,rawAccelZ_g,rawGyroX_dps,rawGyroY_dps,rawGyroZ_dps,filteredAccelX_g,filteredAccelY_g,filteredAccelZ_g,filteredGyroX_dps,filteredGyroY_dps,filteredGyroZ_dps
4212,0.005713,0.005010,0.002515,0.006183,-0.074962,-0.080840,0.005713,0.005010,0.002515,0.006183,-0.074962,-0.080840
4312,0.004980,0.000371,-0.001392,0.006183,-0.036794,-0.035038,0.005566,0.004082,0.001733,0.006183,-0.071145,-0.076260
4412,0.002051,-0.000117,0.005933,-0.131221,0.016641,-0.012137,0.004863,0.003242,0.002573,-0.007557,-0.062366,-0.069847
4512,-0.001855,-0.000117,-0.004565,0.006183,0.001374,-0.019771,0.003520,0.002570,0.001146,-0.006183,-0.055992,-0.064840
4612,-0.000391,0.002080,-0.000903,0.044351,-0.044428,-0.042672,0.002737,0.002472,0.000736,-0.001130,-0.054836,-0.062623
4712,0.004736,-0.004756,0.000073,0.006183,-0.082595,-0.111374,0.003137,0.001027,0.000603,-0.000398,-0.057612,-0.067498
4812,-0.000146,-0.002070,0.006421,0.021450,-0.120763,0.003130,0.002481,0.000407,0.001767,0.001786,-0.063927,-0.060435
4912,-0.000879,-0.005244,-0.011401,-0.024351,0.085343,0.048931,0.001809,-0.000723,-0.000867,-0.000827,-0.049000,-0.049499
5012,-0.006250,0.001836,0.006665,-0.169389,-0.136031,-0.119008,0.000197,-0.000211,0.000640,-0.017684,-0.057703,-0.056449
5112,0.003271,-0.004512,0.002026,0.174122,0.138779,0.003130,0.000812,-0.001071,0.000917,0.001497,-0.038055,-0.050492
5212,-0.004053,-0.003291,0.000073,-0.031985,0.154046,0.064198,-0.000161,-0.001515,0.000748,-0.001851,-0.018845,-0.039023
5312,0.011328,-0.002314,-0.002124,0.036718,0.085343,-0.042672,0.002137,-0.001675,0.000174,0.002006,-0.008426,-0.039387
5412,0.005225,0.001348,-0.000659,0.090153,0.009008,-0.042672,0.002754,-0.001071,0.000007,0.010820,-0.006683,-0.039716
5512,0.002783,-0.002803,-0.004565,0.006183,0.016641,0.018397,0.002760,-0.001417,-0.000907,0.010357,-0.004350,-0.033905
5612,-0.003809,0.001348,0.005444,0.090153,0.100611,0.132901,0.001446,-0.000864,0.000363,0.018336,0.006146,-0.017224
5712,-0.001855,-0.001338,0.003980,0.051985,-0.021527,-0.004504,0.000786,-0.000959,0.001086,0.021701,0.003379,-0.015952
5812,0.001074,-0.003779,0.003003,0.090153,-0.097863,0.003130,0.000844,-0.001523,0.001470,0.028546,-0.006746,-0.014044
5912,-0.006250,-0.004512,0.012769,0.105420,0.024275,0.003130,-0.000575,-0.002121,0.003729,0.036234,-0.003644,-0.012327
6012,-0.001855,-0.000605,-0.006763,-0.085420,0.108244,0.026031,-0.000831,-0.001818,0.001631,0.024068,0.007545,-0.008491
6112,0.005713,-0.001338,-0.009692,0.021450,0.016641,-0.111374,0.000478,-0.001722,-0.000634,0.023806,0.008455,-0.018779
